Post_ID,Size,Depth,Max_Breadth,Mean_Breadth,Unique_Users,Duration_Minutes,Mean_Interval
1knkete,170,12,38,13.076923076923077,58,152149.25,894.9955882352941
1knxcq7,9,1,8,4.5,9,9090.983333333334,1010.1092592592593
1kp7vay,126,4,96,25.2,107,378727.93333333335,3005.7772486772487
1kpmkbp,48,4,24,9.6,40,32024.333333333332,667.1736111111111
1kr2j77,21,5,7,3.5,15,6580.566666666667,313.36031746031745
1kr5z1f,49,5,26,8.166666666666666,35,1906.9,38.916326530612245
1kspcny,116,16,57,6.823529411764706,74,7457.483333333334,64.28864942528736
1ksxdkj,66,11,32,5.5,41,4389.666666666667,66.51010101010101
1kt5w45,108,8,38,12.0,68,6770.466666666666,62.6895061728395
1kujylu,105,9,34,10.5,47,8441.55,80.39571428571428
1kti68n,31,4,17,6.2,27,502609.5,16213.209677419354
1kwlh75,190,14,39,12.666666666666666,80,315559.2166666667,1660.8379824561405
1kwsbps,10,2,7,3.3333333333333335,10,1302.2166666666667,130.22166666666666
1kynd3h,134,9,40,13.4,89,6089.816666666667,45.44639303482587
1kxiw82,32,7,8,4.0,20,2013.6666666666667,62.927083333333336
1kxteuj,28,6,11,4.0,20,8548.1,305.2892857142857
1kytfb7,183,9,66,18.3,84,48416.63333333333,264.571766848816
1kz6twz,33,4,18,6.6,25,44232.066666666666,1340.3656565656565
1l13brl,25,3,20,6.25,23,4186.533333333334,167.46133333333336
1l1gkzc,122,8,68,13.555555555555555,98,3430.483333333333,28.118715846994533
1l1o6yc,148,7,75,18.5,90,94890.01666666666,641.1487612612613
1l1uvv8,12,3,5,3.0,10,1071.45,89.28750000000001
1l29v9c,69,7,42,8.625,55,3129.5333333333333,45.355555555555554
1l1x9el,49,4,25,9.8,36,2385.05,48.67448979591837
1l406f1,40,5,16,6.666666666666667,33,1661.2833333333333,41.53208333333333
1l41j1z,89,8,35,9.88888888888889,54,15799.266666666666,177.51985018726592
1l52j6r,12,3,6,3.0,11,244471.38333333333,20372.61527777778
1l58qd2,21,4,11,4.2,16,4778.566666666667,227.55079365079365
1l60e51,45,5,28,7.5,32,58428.98333333333,1298.4218518518517
1l7ahax,16,2,11,5.333333333333333,13,4485.65,280.353125
1l7e1j6,102,7,35,12.75,63,44076.13333333333,432.118954248366
1l7wntw,50,8,23,5.555555555555555,36,8756.233333333334,175.12466666666668
1l88kxi,66,5,38,11.0,51,44913.48333333333,680.5073232323232
1l8aysd,18,3,9,4.5,15,6158.15,342.1194444444444
1l9kd69,129,5,90,21.5,100,45652.833333333336,353.8979328165375
1la0hfx,106,7,51,13.25,65,5432.916666666667,51.25393081761007
1lcp79f,31,3,17,7.75,29,1927.5833333333333,62.18010752688172
1lct2ux,172,14,108,11.466666666666667,126,6531.8,37.97558139534884
1ldasdl,14,2,10,4.666666666666667,14,2175.133333333333,155.36666666666665
1le2kio,20,1,19,10.0,19,245463.71666666667,12273.185833333333
1le2w2j,41,3,20,10.25,29,169210.7,4127.090243902439
1leen7m,55,9,22,5.5,33,19340.266666666666,351.6412121212121
1lfcu40,83,5,49,13.833333333333334,63,362394.35,4366.196987951807
1lg4nmj,38,4,18,7.6,26,5514.266666666666,145.11228070175437
1lj8usv,187,6,100,26.714285714285715,135,19269.4,103.04491978609626
1ljcuk5,92,12,28,7.076923076923077,50,7876.15,85.61032608695652
1lk3kcq,41,10,12,3.727272727272727,22,2405.35,58.667073170731705
1lkz4lh,34,5,15,5.666666666666667,28,2142.6,63.01764705882353
1ll0u90,61,5,43,10.166666666666666,56,5874.783333333334,96.30792349726777
1llff3a,16,3,7,4.0,15,5326.05,332.878125
1llfs5k,60,8,16,6.666666666666667,40,29848.8,497.47999999999996
1llpq8s,119,5,68,19.833333333333332,97,7946.85,66.78025210084034
1lmy95e,13,2,8,4.333333333333333,13,9987.183333333332,768.2448717948718
1lnpbr7,126,16,75,7.411764705882353,91,131274.61666666667,1041.862037037037
1lo5s5o,61,8,42,6.777777777777778,52,243887.36666666667,3998.153551912568
1loouwv,74,6,29,10.571428571428571,45,6536.033333333334,88.32477477477478
1loqpnf,53,7,20,6.625,31,4903.45,92.51792452830189
1lp7rhx,90,5,70,15.0,83,3702.133333333333,41.13481481481482
1lpstwn,71,3,61,17.75,67,4894.816666666667,68.94107981220657
1lrricp,71,5,42,11.833333333333334,59,5889.7,82.95352112676056
1lsg5pz,26,4,18,5.2,22,5627.083333333333,216.42628205128204
1lu10o4,63,6,24,9.0,38,5643.883333333333,89.58544973544973
1lu9o84,51,4,31,10.2,41,10614.216666666667,208.12189542483662
1luz1m2,59,8,27,6.555555555555555,41,5507.25,93.34322033898304
1lwsf5d,158,10,77,14.363636363636363,105,9709.35,61.45158227848101
1ly8sfe,37,5,19,6.166666666666667,28,211525.78333333333,5716.9130630630625
1lydajj,45,5,22,7.5,32,8529.983333333334,189.5551851851852
1m18mby,165,8,86,18.333333333333332,123,3274.866666666667,19.84767676767677
1m1aa2u,53,8,28,5.888888888888889,44,9316.2,175.77735849056606
1m28a6e,61,5,26,10.166666666666666,46,5217.683333333333,85.53579234972678
1m2h6zo,46,5,28,7.666666666666667,37,5930.85,128.93152173913043
1m327f7,77,8,42,8.555555555555555,60,5836.383333333333,75.79718614718614
1m371pd,55,5,33,9.166666666666666,46,42000.21666666667,763.640303030303
1m3ddso,71,5,41,11.833333333333334,60,40609.35,571.962676056338
1m3fuf1,52,4,39,10.4,41,51.266666666666666,0.9858974358974358
1m3ive2,9,4,4,1.8,7,3785.616666666667,420.6240740740741
1m43l3w,53,6,22,7.571428571428571,39,203025.5,3830.669811320755
1m542t8,14,4,5,2.8,8,2436.733333333333,174.05238095238093
1m54fur,32,3,19,8.0,27,2393.45,74.7953125
1m5i3u6,103,7,41,12.875,74,3582.883333333333,34.785275080906146
1m5l44u,33,5,14,5.5,31,35872.23333333333,1087.0373737373736
1m5vlvc,28,4,15,5.6,24,2569.5,91.76785714285714
1m61k67,22,6,8,3.142857142857143,17,2176.366666666667,98.92575757575759
1m83595,104,10,52,9.454545454545455,78,43766.03333333333,420.8272435897436
1maukc1,70,5,38,11.666666666666666,54,36275.566666666666,518.222380952381
1mbh2to,39,4,26,7.8,33,5609.45,143.83205128205128
1mctph5,39,2,30,13.0,31,698.8,17.91794871794872
1mc0yx8,26,4,14,5.2,20,6302.05,242.38653846153846
1me4x73,38,11,15,3.1666666666666665,17,5984.033333333334,157.47456140350877
1mef2mp,16,3,10,4.0,13,2368.15,148.009375
1mfxdbt,37,3,25,9.25,36,3890.1666666666665,105.13963963963964
1mghm7r,19,3,12,4.75,18,7586.016666666666,399.26403508771926
1mi8vwu,128,7,61,16.0,88,8767.35,68.494921875
1miqhvu,82,5,30,13.666666666666666,59,77623.2,946.6243902439024
1mj1ssz,100,11,46,8.333333333333334,58,18833.016666666666,188.33016666666666
1mjgr76,103,19,35,5.15,52,3888.65,37.75388349514563
1mldq86,95,7,50,11.875,72,5504.316666666667,57.94017543859649
1mmws6j,14,3,8,3.5,12,2094.7166666666667,149.62261904761905
1mmxs8o,27,8,11,3.0,19,1022.3333333333334,37.864197530864196
1mo9gkk,84,9,39,8.4,57,5702.316666666667,67.88472222222222
1moio9h,56,4,31,11.2,39,5383.5,96.13392857142857
1moobil,42,3,24,10.5,36,158594.31666666668,3776.055158730159
1mpovwq,98,9,37,9.8,64,19548.2,199.4714285714286
1mppyy4,65,5,33,10.833333333333334,41,12112.45,186.34538461538463
1mr61cn,46,6,20,6.571428571428571,39,62275.76666666667,1353.8210144927536
1mrcyw8,55,5,36,9.166666666666666,42,5227.983333333334,95.05424242424243
1msk319,32,8,8,3.5555555555555554,18,1234.3666666666666,38.57395833333333
1mss44q,90,6,45,12.857142857142858,69,219332.56666666668,2437.0285185185185
1mt7uww,66,5,36,11.0,47,3949.9,59.8469696969697
1mu49g0,27,4,13,5.4,14,3323.85,123.10555555555555
1muq3d6,24,5,9,4.0,20,8906.216666666667,371.09236111111113
1muwa46,102,8,59,11.333333333333334,80,5768.1,56.550000000000004
1mvc8wp,20,3,12,5.0,18,2416.05,120.80250000000001
1mw8vj3,27,3,22,6.75,26,2178.3333333333335,80.67901234567901
1mzb7v5,62,3,40,15.5,50,70635.31666666667,1139.279301075269
1n0mpbi,140,5,64,23.333333333333332,98,165725.7,1183.755
1mzpyu5,12,3,7,3.0,12,91254.35,7604.529166666667
1n07mxq,19,3,8,4.75,18,36066.35,1898.228947368421
1n0tztp,47,3,33,11.75,41,69542.5,1479.627659574468
1n15fl1,29,2,21,9.666666666666666,26,8273.85,285.3051724137931
1n1ahgi,137,8,65,15.222222222222221,98,31210.516666666666,227.8139902676399
1n1twng,89,4,60,17.8,72,5359.583333333333,60.220037453183515
1n2lv27,117,12,53,9.0,73,5954.85,50.89615384615385
1n3zlt9,51,3,33,12.75,49,253535.98333333334,4971.293790849673
1n45kjw,73,5,29,12.166666666666666,63,7567.5,103.66438356164383
1n5tz7z,80,7,31,10.0,50,23465.033333333333,293.31291666666664
1n5ytq3,94,5,55,15.666666666666666,78,5951.016666666666,63.308687943262406
1n7hbfi,30,3,16,7.5,26,1890.9333333333334,63.031111111111116
1n9afl8,108,4,67,21.6,78,3318.75,30.729166666666668
1n9hy7c,84,8,55,9.333333333333334,67,4086.2166666666667,48.64543650793651
1n9nnfi,19,2,13,6.333333333333333,18,176903.56666666668,9310.71403508772
1n9yevf,33,4,19,6.6,30,3248.8333333333335,98.44949494949495
1nblxin,24,3,16,6.0,20,46298.75,1929.1145833333333
1nbnk0c,76,6,41,10.857142857142858,56,3525.016666666667,46.381798245614036
